CHG_ATM 1 1 MOLEC CCl 2.400000e-01 1.671960e+01
CHG_ATM 1 2 MOLEC Cl1 -1.200000e-01 4.783840e+00
CHG_ATM 1 3 MOLEC Cl2 -1.200000e-01 2.956449e-01
C06_NRM 33 33 CL CL 7.850500e-03 3.784570e+03
C06_NEI 33 33 CL CL 7.850500e-03 0.000000e+00
C12_NRM 33 33 CL CL 1.373600e-05 -1.041526e+06
C12_NEI 33 33 CL CL 1.373600e-05 0.000000e+00
C06_NRM 33 69 CL CX2 7.926200e-03 3.588938e+03
C06_NEI 33 69 CL CX2 7.926200e-03 0.000000e+00
C12_NRM 33 69 CL CX2 1.438800e-05 -9.336332e+05
C12_NEI 33 69 CL CX2 1.438800e-05 0.000000e+00
C06_NRM 69 69 CX2 CX2 8.002600e-03 6.672967e+02
C06_NEI 69 69 CX2 CX2 8.002600e-03 0.000000e+00
C12_NRM 69 69 CX2 CX2 1.505200e-05 -9.401933e+04
C12_NEI 69 69 CX2 CX2 1.505200e-05 0.000000e+00
